Date,Short_Sector,Group,Value,Region
1949-03-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.2431022633814246,US
1949-03-01,Durable Consumer Goods,Consumer Goods,12.1607,US
1949-03-01,Durable Consumer Goods Growth,Consumer Goods Growth,-0.20352057773582732,US
1949-03-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-7.750034556855468,US
1949-03-01,Automotive Products,Consumer Goods,12.1821,US
1949-03-01,Automotive Products Growth,Consumer Goods Growth,-2.1447333542183755,US
1949-03-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-6.238212199498571,US
1949-03-01,Manufacturing Total,Manufacturing,12.2973,US
1949-03-01,Manufacturing Total Growth,Manufacturing Growth,-3.999344241818637,US
1949-03-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-4.184489820625082,US
1949-03-01,Durable Manufacturing,Manufacturing,7.4392,US
1949-03-01,Durable Manufacturing Growth,Manufacturing Growth,-3.395795187450501,US
1949-03-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-1.436677843693579,US
1949-03-01,Mining,Mining,45.3379,US
1949-03-01,Mining Growth,Mining Growth,-9.340518706632816,US
1949-03-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-6.404599717340098,US
1949-03-01,Electric and Gas Utilities,Utilities,7.6985,US
1949-03-01,Electric and Gas Utilities Growth,Utilities Growth,0,US
1949-03-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,-0.1099781342685846,US
1949-04-01,Total Index,Total,13.6554,US
1949-04-01,Total Index Growth,Total Growth,-0.5875030030357942,US
1949-04-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-3.3270980894932634,US
1949-04-01,Final Products,Products,14.6921,US
1949-04-01,Final Products Growth,Products Growth,-0.7753142116175615,US
1949-04-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-2.463406633806564,US
1949-04-01,Consumer Goods,Consumer Goods,20.2851,US
1949-04-01,Consumer Goods Growth,Consumer Goods Growth,-0.19041714639977947,US
1949-04-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-1.0710367570699877,US
1949-04-01,Durable Consumer Goods,Consumer Goods,12.1856,US
1949-04-01,Durable Consumer Goods Growth,Consumer Goods Growth,0.20475794978906947,US
1949-04-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-4.79568435317419,US
1949-04-01,Automotive Products,Consumer Goods,13.0557,US
1949-04-01,Automotive Products Growth,Consumer Goods Growth,7.171177383209781,US
1949-04-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,0,US
1949-04-01,Manufacturing Total,Manufacturing,12.1265,US
1949-04-01,Manufacturing Total Growth,Manufacturing Growth,-1.388922771665324,US
1949-04-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-5.040092222312886,US
1949-04-01,Durable Manufacturing,Manufacturing,7.1486,US
1949-04-01,Durable Manufacturing Growth,Manufacturing Growth,-3.90633401441014,US
1949-04-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-4.184936806809391,US
1949-04-01,Mining,Mining,49.4595,US
1949-04-01,Mining Growth,Mining Growth,9.09084893654095,US
1949-04-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-5.555541061957525,US
1949-04-01,Electric and Gas Utilities,Utilities,7.7239,US
