Date,Short_Sector,Group,Value
1948-12-01,Mining Growth,Mining Growth,-0.1331679233945171
1948-12-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.3937911843008854
1948-12-01,Electric and Gas Utilities,Utilities,7.7239
1948-12-01,Electric and Gas Utilities Growth,Utilities Growth,0
1948-12-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,2.8276433189079464
1949-01-01,Total Index,Total,14.1393
1949-01-01,Total Index Growth,Total Growth,-0.9415918787700428
1949-01-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-1.969039312106824
1949-01-01,Final Products,Products,14.9216
1949-01-01,Final Products Growth,Products Growth,-1.7015922371030112
1949-01-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-1.9207807490094986
1949-01-01,Consumer Goods,Consumer Goods,20.2463
1949-01-01,Consumer Goods Growth,Consumer Goods Growth,-1.1343548875411336
1949-01-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-1.6729859109394618
1949-01-01,Durable Consumer Goods,Consumer Goods,12.3596
1949-01-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.1189496374681602
1949-01-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-6.143753760658255
1949-01-01,Automotive Products,Consumer Goods,12.2064
1949-01-01,Automotive Products Growth,Consumer Goods Growth,-3.4548215641609703
1949-01-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-5.935839421341759
1949-01-01,Manufacturing Total,Manufacturing,12.8828
1949-01-01,Manufacturing Total Growth,Manufacturing Growth,-1.8587926989060533
1949-01-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-1.7125897405045554
1949-01-01,Durable Manufacturing,Manufacturing,7.7879
1949-01-01,Durable Manufacturing Growth,Manufacturing Growth,0.9409873886951914
1949-01-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.1373715239735072
1949-01-01,Mining,Mining,50.2151
1949-01-01,Mining Growth,Mining Growth,-2.53337034139941
1949-01-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-2.4049251890166046
1949-01-01,Electric and Gas Utilities,Utilities,7.6731
1949-01-01,Electric and Gas Utilities Growth,Utilities Growth,-0.6576988309014986
1949-01-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.903116474430444
1949-02-01,Total Index,Total,14.0049
1949-02-01,Total Index Growth,Total Growth,-0.9505421060448604
1949-02-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-2.472116266718183
1949-02-01,Final Products,Products,14.8069
1949-02-01,Final Products Growth,Products Growth,-0.7686843233969509
1949-02-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-2.7346169673604592
1949-02-01,Consumer Goods,Consumer Goods,20.1689
1949-02-01,Consumer Goods Growth,Consumer Goods Growth,-0.38229207311953894
1949-02-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.3590154734225766
1949-02-01,Durable Consumer Goods,Consumer Goods,12.1855
1949-02-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.4086216382407257
1949-02-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-7.635738763544175
1949-02-01,Automotive Products,Consumer Goods,12.4491
1949-02-01,Automotive Products Growth,Consumer Goods Growth,1.98830121903264
1949-02-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-5.181635610239743
1949-02-01,Manufacturing Total,Manufacturing,12.8096
1949-02-01,Manufacturing Total Growth,Manufacturing Growth,-0.5681994597447781
1949-02-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-2.5123306110558574
1949-02-01,Durable Manufacturing,Manufacturing,7.7007
1949-02-01,Durable Manufacturing Growth,Manufacturing Growth,-1.1196856662258003
1949-02-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,0.18868576264454706
1949-02-01,Mining,Mining,50.009
1949-02-01,Mining Growth,Mining Growth,-0.4104343115915343
1949-02-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-2.601455480001591
1949-02-01,Electric and Gas Utilities,Utilities,7.6985
1949-02-01,Electric and Gas Utilities Growth,Utilities Growth,0.3310265733536655
1949-02-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,0.6642519973325323
1949-03-01,Total Index,Total,13.7361
1949-03-01,Total Index Growth,Total Growth,-1.919328235117701
1949-03-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-3.2298090720248696
1949-03-01,Final Products,Products,14.8069
1949-03-01,Final Products Growth,Products Growth,0
1949-03-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-3.181387340539321
1949-03-01,Consumer Goods,Consumer Goods,20.3238
1949-03-01,Consumer Goods Growth,Consumer Goods Growth,0.7680141207502489
1949-03-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.2431022633814246
1949-03-01,Durable Consumer Goods,Consumer Goods,12.1607
1949-03-01,Durable Consumer Goods Growth,Consumer Goods Growth,-0.20352057773582732
1949-03-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-7.750034556855468
1949-03-01,Automotive Products,Consumer Goods,12.1821
1949-03-01,Automotive Products Growth,Consumer Goods Growth,-2.1447333542183755
1949-03-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-6.238212199498571
1949-03-01,Manufacturing Total,Manufacturing,12.2973
1949-03-01,Manufacturing Total Growth,Manufacturing Growth,-3.9993442418186365
1949-03-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-4.184489820625082
1949-03-01,Durable Manufacturing,Manufacturing,7.4392
1949-03-01,Durable Manufacturing Growth,Manufacturing Growth,-3.395795187450501
1949-03-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-1.436677843693579
1949-03-01,Mining,Mining,45.3379
1949-03-01,Mining Growth,Mining Growth,-9.340518706632817
1949-03-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-6.404599717340098
1949-03-01,Electric and Gas Utilities,Utilities,7.6985
1949-03-01,Electric and Gas Utilities Growth,Utilities Growth,0
1949-03-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,-0.1099781342685846
1949-04-01,Total Index,Total,13.6554
1949-04-01,Total Index Growth,Total Growth,-0.5875030030357942
1949-04-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-3.3270980894932634
1949-04-01,Final Products,Products,14.6921
1949-04-01,Final Products Growth,Products Growth,-0.7753142116175615
1949-04-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-2.463406633806564
1949-04-01,Consumer Goods,Consumer Goods,20.2851
1949-04-01,Consumer Goods Growth,Consumer Goods Growth,-0.19041714639977947
1949-04-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-1.0710367570699875
1949-04-01,Durable Consumer Goods,Consumer Goods,12.1856
1949-04-01,Durable Consumer Goods Growth,Consumer Goods Growth,0.20475794978906947
1949-04-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-4.79568435317419
1949-04-01,Automotive Products,Consumer Goods,13.0557
1949-04-01,Automotive Products Growth,Consumer Goods Growth,7.171177383209781
1949-04-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,0
1949-04-01,Manufacturing Total,Manufacturing,12.1265
1949-04-01,Manufacturing Total Growth,Manufacturing Growth,-1.388922771665324
1949-04-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-5.040092222312886
1949-04-01,Durable Manufacturing,Manufacturing,7.1486
1949-04-01,Durable Manufacturing Growth,Manufacturing Growth,-3.90633401441014
1949-04-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-4.184936806809391
1949-04-01,Mining,Mining,49.4595
1949-04-01,Mining Growth,Mining Growth,9.09084893654095
1949-04-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-5.555541061957525
1949-04-01,Electric and Gas Utilities,Utilities,7.7239
1949-04-01,Electric and Gas Utilities Growth,Utilities Growth,0.3299344028057538
1949-04-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,0
1949-05-01,Total Index,Total,13.4673
1949-05-01,Total Index Growth,Total Growth,-1.377477042049302
1949-05-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-3.6755709264249203
1949-05-01,Final Products,Products,14.7208
1949-05-01,Final Products Growth,Products Growth,0.19534307553039643
1949-05-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-1.5333434279555802
1949-05-01,Consumer Goods,Consumer Goods,20.2851
1949-05-01,Consumer Goods Growth,Consumer Goods Growth,0
1949-05-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,3.2844066226722646e-4
1949-05-01,Durable Consumer Goods,Consumer Goods,12.110900000000001
1949-05-01,Durable Consumer Goods Growth,Consumer Goods Growth,-0.6130186449579855
1949-05-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.2663299609142373
1949-05-01,Automotive Products,Consumer Goods,12.5219
1949-05-01,Automotive Products Growth,Consumer Goods Growth,-4.088635615095315
1949-05-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,1.2359680096089454
1949-05-01,Manufacturing Total,Manufacturing,11.7849
1949-05-01,Manufacturing Total Growth,Manufacturing Growth,-2.816971096359211
1949-05-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-6.724765064710225
